id;acronym;status;title;startDate;endDate;totalCost;ecMaxContribution;legalBasis;topics;ecSignatureDate;frameworkProgramme;masterCall;subCall;fundingScheme;nature;objective;contentUpdateDate;rcn
957127;NOAHs-ARK;SIGNED;Novel advanced encapsulation system for delivery and protection of next-generation cell-based therapies;01.10.20;30.09.21;0;102662.5;;INNOSUP-02-2019-2020;;H2020;;H2020-INNOSUP-2020-02;CSA-LSP;;Cell and gene therapies holds tremendous therapeutic promise for patients worldwide and represent a valuable global market opportunity. Still, cell-based therapies present challenges related chiefly to cell retention, engraftment and survival. Minimally invasive cell delivery and improved retention by means of an encapsulation technology is a driver for generating more predictable clinical outcomes with lesser immune rejection in a variety of disease areas. Stemmatters has built a highly versatile platform technology to design novel molecules with attributes to safeguard cells and support cell function and retention. Based on a chemically defined template, our technology provides rapid generation of compound libraries supporting establishment of safe, less costly and more effective cell-based therapies. The performance and cost effectiveness of our development platform surpasses competing technologies. NOAHs-ARK (spelled as Noah´s ark) aims to disrupt the current market landscape by developing Stemmatters’ encapsulation platform to other therapeutic applications of large unmet demand. Recruitment and integration of an Innovation associate (IA) with specific expertise in cell-based therapy into Stemmatters is a significant milestone that will dramatically increase Stemmatters capabilities, strengthen existing collaborations, and expand business opportunities. The IA will provide Stemmatters with important technical expertise and a comprehensive understanding of market unmet needs and current competitive dynamics. The IA will lead development of our innovative platform to other therapeutic applications of large unmet need, by designing in vitro studies for specific disease indications in need of enabling cell encapsulation solutions. Biomaterials entering the pipeline will be supported by technical product dossiers to assist regulatory submissions, smooth translation to the clinic and commercialization by strategic licensing and/or supply agreements.;09.04.21 14:02;231590
101018243;REITER 3;SIGNED;SUPPORT TO THE DEVELOPMENT AND ANALYSIS OF A RESEARCH AND INNOVATION POLICY TAXONOMY AND QUESTIONNAIRE – PHASE 3;01.08.20;31.07.22;919061.46;700000;;IBA-SC6-Reiter3-2020;;H2020;;H2020-IBA-SC6-Reiter3-2020;CSA;;The project implements the goals of the Horizon 2020 Work Programme “Europe in a Changing World: inclusive, innovative and reflective societies”. As its name indicates, REITER 3 is the third phase of a project that originally started in 2016 and that has the overarching goal of contributing to the monitoring and assessment of research and innovation (R&I) policies in Europe and beyond. It does this by surveying countries on their R&I policies, linking the collected policy data with other information (including statistics and other databases), and providing open data services through a dedicated web portal, the STIP Compass (http://stip.oecd.org). REITER 3 will maintain and update this infrastructure, and will aim to extend its uses and user base through new topic-based analysis and web services. Specifically, in a first part, the project will renew and upgrade STIP Compass databases and re-design the website’s graphical user interfaces. Among other things, this will will involve administering the 2021 edition of the EC-OECD STIP Survey. The project will also raise data quality, ensure linked data is up-to-date, revise and deepen taxonomies, and make the data accessible in STIP Compass. In a second part, the project will expand the uses and user base of STIP Compass by collecting data on and analysing topics that are high-priority for policymakers and analysts (such as the Covid-19 crisis and the climate emergency), and surfacing this in dedicated topic portals. This topic focus will make STIP Compass more relevant, raise its profile and reputation, and further incentivise countries to provide high quality data. Overall, the project’s overarching goal is to enhance the evidence base for R&I policies, which should in turn contribute to better national and European R&I policy and programme design.;09.04.21 14:49;234795
101035027;QOMBINA;SIGNED;QCL Frequency COMBs: INternational exploitation Analysis and commercialisation;01.04.21;31.03.22;0;100000;;FETOPEN-03-2018-2019-2020;;H2020;;H2020-FETOPEN-2018-2019-2020-4;CSA-LSP;;Optical Frequency Comb (OFC) are laser devices which emit light in a wide spectrum consisting of equidistant peaks in frequency space. The FET project “Qombs” made major advances in high performance of the OFC by employing quantum cascade laser sources (QCL) able to operate over all the mid-IR and far-IR region of the spectrum. However, the applications of the QCL-OFC are for the moment rather limited and all potential markets remain hidden.  In that view, QombINA project aims in the development of a solid exploitation strategy for Frequency Comb lasers, which are a result of QOMBS project, aiming at the commercialisation of said devices. In that view, during QombINA project, a set of targeted activities  aiming at showcasing the concept of QCL Frequency Combs to wider market applications will be pushed forward, while most promising applications and potential markets will be achieved through detailed business and marketing plans, respectively.;08.04.21 19:36;233837
101026470;smTI;SIGNED;Visualisation of translation initiation reaction on single mRNA molecules in vivo;01.05.21;30.04.23;187572.48;187572.48;;MSCA-IF-2020;;H2020;;H2020-MSCA-IF-2020;MSCA-IF-EF-ST;;Translation initiation is a key step in the regulation of protein synthesis and is regulated by at least 12 different initiation factors in eukaryotes (eIFs). However, the underlying dynamics of this process remain unclear. I propose to develop a single-molecule live-cell imaging method that can be broadly applied to study the dynamics of translation initiation on individual mRNAs in human cells. The aim of the project is to visualise the binding and release of eIFs and ribosomal subunits on single mRNA molecules in real-time during translation initiation. This method, combined with imaging the synthesis of a nascent polypeptide on a single mRNA, will address the role of dynamic eIFs assembly in heterogeneous mRNA translation events, such as translational bursting and start site selection. The project will uncover the real-time dynamics of translation initiation, reveal the key mechanism of translation regulation, and provide a powerful and generally applicable method to study translation initiation and other RNA-binding protein interactions with mRNAs. The project will be developed with a leading research group for translation imaging. I introduce single-molecule imaging techniques that would facilitate new research in the group and enable transfer of ideas. The project will expand my research experience, skills, and professional networks, thereby enhancing my career development as an independent researcher.;23.04.21 19:42;233854
967144;PAM 2;SIGNED;Packaging Analytical Monitoring System for Heat Sealed Packages;01.04.21;31.03.23;1162250;813575;;EIC-SMEInst-2018-2020;;H2020;;H2020-EIC-SMEInst-2018-2020-3;SME-2b;;The seal integrity of packages is crucial to assure product viability and shelf life. The break of the seal can lead to foodcontamination, degradation and leaks, causing economic losses and brand reputation damage. There is no method toquickly detect sealing flaws or understand why they have occurred. 3% of heat-sealed packages are defective. The currentmethodology is sampling, which generates waste, products recall, unsafety and unreliability.We have developed the PAM2 System, Packaging Analytical Monitoring system, a disruptive quality control machine thatanalyses all the products in a batch via 3D thermal imaging and advanced real time algorithms to provide complete in-linemonitoring of the sealing process. PAM2 screens 100% of the products in a non-destructive manner without slowing the linecapacity. Our Deep Learning algorithms collect precise data to increase the understanding of the process, improve quality,allow operators to detect and amend issues in real-time and detect patterns, such as those cases in which the sealed area istoo close to the limit set by the user.In 2016, we founded Yoran Imaging to start developing the PAM2 System. We have already performed Proof-of-Concept ofour prototypes in major food companies, received the CE mark and have sold machines. Currently, we are pursuing theimplementation of Deep Learning in order to become an Industry 4.0 enabler platform in the primary packaging area.We are set to serve within the food manufacturing industry, with around 300,000 food and drink manufacturing companies inEurope contributing towards the sectors total turnover of €1,109 billion with a value-added total of €230 billion. Moreover, thepackaging machinery industry within Europe has over 6,000 enterprises producing packaging, which accounted for €13.5billion in 2017.;14.04.21 17:00;233797
101025627;MyeSync;SIGNED;The role of PV+ basket cell axon myelination in temporal synchrony of the hippocampal CA2 network;15.03.21;14.03.23;175572.48;175572.48;;MSCA-IF-2020;;H2020;;H2020-MSCA-IF-2020;MSCA-IF-EF-ST;;The hippocampus located in the temporal lobe of the brain is of fundamental importance for storage and retrieval of episodic memories. Such brain computations take place at a time scale of milliseconds or less, and rely on neuronal information transfer over subcellular structures which are called axons. Neuronal precision and speed can be achieved by wrapping axons with multi-lamellar membrane sheets of myelin and is of critical importance for proper brain function. Until recently, myelination was thought to be exclusive to long-range excitatory neuronal projections. This view has been drastically revised, and it is now commonly accepted that myelination can be abundant around the axons of local inhibitory interneurons as well. Parvalbumin positive basket cells (PV+ BCs) are fast spiking interneurons which are prominent in the hippocampus where they contribute to the synchrony of action potentials of large populations of neurons. They function as clockworks that drive network oscillations such as sharp wave ripples, are critical for memory consolidation, and are highly abundant in hippocampal area CA2. Whether myelination of the CA2 PV+ BC axon plays a role in their temporally precise inhibitory function, and whether this supports temporally precise neuronal encoding and cognitive performance remains obscure. In this Marie Skłodowska-Curie fellowship, I will address this question by combining my expertise in subcellular patch-clamp methods with the expertise of the host on Ca2+ imaging, myelin physiology, and in vivo electrophysiology. The proposed multimethod and multidisciplinary study will be unique in showing how biophysical changes in small neuronal compartments will lead to alterations of neuronal networks and ultimately to behavioral alterations of the organism. The fellowship is expected to provide me with transferable skills and high throughput techniques that will greatly improve my chances to become an influential leader in the field of neuroscience.;23.04.21 19:36;233739
969104;LegioDetect;SIGNED;Online monitoring of pathogens in times of Corona virus, influenza and legionella - eliminating infection risk for 20 million Europeans;01.05.21;30.04.23;3270312.5;2289218.75;;EIC-SMEInst-2018-2020;;H2020;;H2020-EIC-SMEInst-2018-2020-3;SME-2b;;WHO declared Legionella as the highest health burden of all water borne pathogens - even for our developed European countries. There are thousands of infections with mortality rates between 5%-30%. Due to similar symptoms like with pneumonia or with flu (fever, coughing and diarrhoea, shivers, headache and body aches) presumed numbers of unidentified and unregistered cases are estimated to be much higher.There is no automated and scalable solution on market which allows the continuous monitoring of in-house water quality regarding detection and quantification of legionella. Current solutions are laboratory procedures, e.g. cell cultivation, which are time-consuming, costly and mostly error-prone, e.g. by detecting no viable-but-non-cultivatable infectious legionella cells.To improve the health safety of all Europeans, including 20 million people currently under concrete health risks, we developed a worldwide unique solution for highly accurate and automated detection and quantification of legionella bacteria in water. Moreover, our system is able to give predictions and warnings already BEFORE critical value is reached, enabling counter measures. LegioDetect is easy to use also for non-experts, data is easy to understand and thus, the system is perfectly scalable for the fast growing market of Legionella monitoring. Our system is intended for owners/operators of rental houses, public buildings or buildings of special interest (e.g. hospitals, hotels, baths or swimming pools), for private households, but also for operators of cooling towers.;09.04.21 11:02;233634
969201;Qblox;SIGNED;The control stack for the quantum revolution;01.03.21;28.02.23;3545625;2481937.5;;EIC-SMEInst-2018-2020;;H2020;;H2020-EIC-SMEInst-2018-2020-3;SME-2b;;Qblox is a spin-out from Delft-based QuTech, one of Europe’s leading quantum technology hubs. We are the world’s first provider of integrated quantum control stacks. Our prototypes can control up to 20 qubits from a single compact, cost-effective and ultra-low latency device. Our technology is currently being integrated and tested by world leaders in quantum technology like Intel, QuTech, the Peng Cheng Laboratory in Shenzhen and the University of Technology Sydney. Our goal is to develop the Supercluster—a modular 1,600 qubit quantum control stack with error correction capabilities.  This will allow our customers in the quantum hardware sector to focus on core product development and accelerate their path towards quantum advantage. This ambitious project relies on Qblox’s core innovations: (1) our proprietary SYNQ protocol that synchronises system control with nanosecond precision, (2) our proprietary LINQ protocol that distributes information across the system in less than 200 ns,  (3) ultra-low noise pulse generators (4x lower than the best alternative), and (4) a unique error decoding hardware module. In the next two years, we will deliver 5 to 20-qubit control stacks to companies and research centres developing quantum computers. We have achieved early market traction and gained interest from tech giants— Amazon, Alibaba, Intel—quantum start-ups—IQM, Oxford Quantum Circuits, Qilimanjaro—and research institutions—QuTech, University of Tokyo, TNO. From 2023, we will offer our fully modular solution with error-correction capabilities. These control stacks will be at the heart of the quantum computers that will propel quantum computing into one of the most revolutionary technologies of the 21st century.;09.04.21 09:49;233635
957149;PREFAIL;SIGNED;REINFORCEMENT LEARNING FOR PREDICTIVE FAILURE-DETECTION AND PROACTIVE DATA MANAGEMENT ON DIGITAL STORAGE SYSTEMS;01.10.20;28.02.22;0;84700;;INNOSUP-02-2019-2020;;H2020;;H2020-INNOSUP-2020-02;CSA-LSP;;As the Digital Transformation of Europe, and the rest of the world, is rapidly picking up pace, the underlying physical infrastructure is similarly expanding to keep up with demand generated by over 2 billion connected computers and more than 30 billion smartphones, wearables and IoT devices. Nevertheless, Internet applications and services remain prone to inevitable hardware failures, that lead to data losses and increased maintenance costs. The primary problem lies with the cost of implementing data redundancy by constantly adding expensive hardware to cater to the needs of traditional data replication approaches (e.g. by always keeping copies of a file on multiple servers).With the assistance of an Innovation Associate specializing in Machine Learning, Algolysis Ltd aspires to extend its cloud-based storage device monitoring service (DriveNest - www.drivenest.com) with a robust state-of-the-art failure prediction engine. Reliably identifying soon-to-fail storage devices can be a transformative capability across the ICT sector, as a range of proactive data management and mitigation services can be built on top.;14.04.21 16:58;233631
957080;X-AIR;SIGNED;XnFinity Artificial Intelligence for Retail;01.09.20;31.12.21;0;134268.75;;INNOSUP-02-2019-2020;;H2020;;H2020-INNOSUP-2020-02;CSA-LSP;;"Retail sales amounts to 41 billion euros per day all over the globe; e-commerce revenue in Europe is expected to grow from 292.2 billion U.S. dollars in 2017 to 499.5 billion U.S. dollars in 2024.To help our retail clients tackle the problems mentioned and also seize these opportunities, we are set to democratize Artificial Intelligence innovation in retail, by developing a technology capable of handling together small data bundles and produce valuable high quality customer knowledge, spending patterns, and an overall array of information potentially predictive and thus strategic. Our innovation idea, X-AIR, is to explore the feasibility of this network’s potential to be a source of knowledge, by leveraging PaperVault’s technology with AI & Machine Learning (ML) tools and expertise, and to become a vehicle for an affordable AI integration in retail stores, offering them new ways to improve the customer experience and to optimize operational efficiency and productivity.In short, X-AIR goal is to expand our current portfolio, gain market share but also to reach new markets, offering solutions not yet available. The IA will report to the CEO and lead the research into the potential of our current technology to help retailers overcome access barriers to customer knowledge.";09.04.21 14:02;231584
